buffer_type,max_portion,total_produced,total_consumed,best_producer_ops,worst_producer_ops,best_consumer_ops,worst_consumer_ops,best_producer_wait,worst_producer_wait,best_consumer_wait,worst_consumer_wait
2 Condition,1,1026699,1026700,348936,3360,302275,31762,0.003,0.260,0.003,0.029
2 Condition,2,530512,530474,652,111288,12,15,0.003,0.009,0.000,66.693
2 Condition,3,863204,509343,142177,33618,81397,26943,0.007,0.030,0.004,0.010
2 Condition,4,1051886,1051827,368226,158019,376845,149266,0.003,0.006,0.003,0.007
2 Condition,5,1047786,634165,345755,178080,6776,124,0.003,0.006,0.002,0.072
2 Condition,6,643216,592325,368255,437,375832,4234,0.003,0.362,0.003,0.012
2 Condition,7,575414,137057,2472,234847,73060,375,0.002,0.004,0.014,2.667
2 Condition,8,726951,722172,388098,40184,300233,7756,0.003,0.009,0.003,0.129
2 Condition,9,619924,614445,405064,143940,48359,235848,0.002,0.007,0.003,0.004
2 Condition,10,652025,72470,133172,127217,4,0,0.007,0.008,0.000,NaN
2 Condition,11,622433,274405,458243,5270,20079,33127,0.002,0.034,0.004,0.030
2 Condition,12,618962,618822,46850,3156,452172,101479,0.021,0.041,0.002,0.008
2 Condition,13,983601,981837,360044,43664,333662,201507,0.003,0.019,0.003,0.005
2 Condition,14,1051202,630530,335296,5,293622,72666,0.003,0.064,0.003,0.014
2 Condition,15,903054,901909,80085,28205,138269,183010,0.002,0.011,0.003,0.005
4 Condition,1,508680,508651,164205,26746,156302,59510,0.006,0.037,0.006,0.017
4 Condition,2,523889,278963,208062,19564,244928,151,0.005,0.051,0.004,3.870
4 Condition,3,524251,174751,165672,65807,174750,0,0.006,0.015,0.006,NaN
4 Condition,4,494399,123600,135377,66559,123599,0,0.007,0.015,0.008,NaN
4 Condition,5,533670,106736,178500,28659,106735,0,0.005,0.032,0.009,NaN
4 Condition,6,526711,87785,240528,42286,87785,0,0.004,0.021,0.011,NaN
4 Condition,7,489723,69960,135669,68878,69960,1,0.007,0.012,0.014,1000.297
4 Condition,8,474872,59359,173478,33559,59359,0,0.006,0.021,0.017,NaN
4 Condition,9,526673,58521,160809,37970,58522,1,0.006,0.026,0.017,1000.256
4 Condition,10,585750,58577,260186,56179,58576,0,0.004,0.018,0.017,NaN
4 Condition,11,492280,44750,251305,992,44752,0,0.004,1.008,0.022,NaN
4 Condition,12,535662,44637,208307,34678,44639,0,0.005,0.024,0.022,NaN
4 Condition,13,579415,44570,238080,19913,44570,0,0.004,0.050,0.022,NaN
4 Condition,14,621296,44379,215404,87497,44378,0,0.005,0.011,0.022,NaN
4 Condition,15,668670,44580,235631,53143,44578,1,0.004,0.017,0.022,1000.274
3 Locks,1,2021086,2021085,408876,399843,411633,399755,0.002,0.002,0.002,0.002
3 Locks,2,1927299,1552409,391271,381652,374976,293785,0.003,0.003,0.003,0.003
3 Locks,3,1910863,1266699,388003,378865,322112,231835,0.003,0.003,0.003,0.004
3 Locks,4,1906176,1110905,386272,378013,265103,210465,0.003,0.003,0.004,0.005
3 Locks,5,1914789,1008776,385950,380684,226508,192839,0.003,0.003,0.004,0.005
3 Locks,6,1908259,943351,386332,378161,192987,186735,0.003,0.003,0.005,0.005
3 Locks,7,1900131,883993,382001,376221,179389,177084,0.003,0.003,0.006,0.006
3 Locks,8,1866789,823333,379645,371160,169995,167393,0.003,0.003,0.006,0.006
3 Locks,9,1892620,816531,386259,371436,171855,168961,0.003,0.003,0.006,0.006
3 Locks,10,1910616,789941,384463,380442,167587,165347,0.003,0.003,0.006,0.006
3 Locks,11,1834306,753759,373286,362344,161792,161165,0.003,0.003,0.006,0.006
3 Locks,12,1850780,740883,372863,367321,161895,158777,0.003,0.003,0.006,0.006
3 Locks,13,1871619,725115,377610,368983,159832,155605,0.003,0.003,0.006,0.006
3 Locks,14,1867637,704885,376857,369097,155738,152124,0.003,0.003,0.006,0.007
3 Locks,15,1832907,681486,372501,363806,150970,149186,0.003,0.003,0.007,0.007
