buffer_type,small_consumers,total_produced,total_consumed,best_producer_ops,worst_producer_ops,best_consumer_ops,worst_consumer_ops,best_producer_wait,worst_producer_wait,best_consumer_wait,worst_consumer_wait
2 Condition,1,773908,165603,186973,140893,98015,98015,0.005,0.007,0.010,0.010
2 Condition,2,1015548,155271,233542,191158,50341,9347,0.004,0.005,0.008,0.042
2 Condition,3,743231,715373,11337,122,505677,10691,0.088,8.199,0.002,0.006
2 Condition,4,1287595,1277345,643826,227852,437067,206684,0.002,0.004,0.002,0.005
2 Condition,5,1292420,830531,375081,56,63839,22,0.003,17.854,0.016,0.845
2 Condition,6,536102,536023,416709,30,4,144,0.002,0.010,250.080,6.947
2 Condition,7,982909,982790,245244,48174,17,69958,0.004,0.021,0.000,0.014
2 Condition,8,939152,553783,336065,69,10410,1,0.003,14.507,0.002,1000.287
2 Condition,9,1118247,1034465,369720,29062,10,40540,0.003,0.034,0.000,0.011
2 Condition,10,1118826,987805,357969,158935,3,18794,0.003,0.006,0.000,0.053
4 Condition,1,846038,85205,296349,25741,84537,668,0.003,0.038,0.012,1.418
4 Condition,2,771331,77134,210577,125059,77133,0,0.005,0.008,0.013,NaN
4 Condition,3,684662,68467,150692,131334,68466,0,0.007,0.008,0.015,NaN
4 Condition,4,666661,66664,221863,49336,66663,1,0.004,0.019,0.015,1000.266
4 Condition,5,664201,66420,221108,56165,66421,0,0.004,0.018,0.015,NaN
4 Condition,6,681540,68153,241130,69481,68155,0,0.004,0.014,0.015,NaN
4 Condition,7,649170,64919,273038,72574,64917,0,0.003,0.014,0.015,NaN
4 Condition,8,648530,64871,219492,76140,3,1,0.004,0.011,0.000,1000.434
4 Condition,9,659185,66236,217962,80475,85,0,0.005,0.012,0.003,NaN
4 Condition,10,626581,62660,272226,60158,62659,0,0.004,0.017,0.016,NaN
3 Locks,1,2058898,301693,468958,383894,195246,106447,0.002,0.003,0.005,0.009
3 Locks,2,2036728,599992,423937,386802,221097,219286,0.002,0.003,0.004,0.005
3 Locks,3,1984329,735120,399343,395205,199198,198510,0.002,0.002,0.005,0.005
3 Locks,4,1968670,846745,398787,386641,181764,179174,0.002,0.003,0.005,0.006
3 Locks,5,1965562,946787,399713,385898,171007,163788,0.002,0.003,0.006,0.006
3 Locks,6,2024311,1090223,407302,403730,165829,162709,0.002,0.002,0.006,0.006
3 Locks,7,2148506,1241326,439872,425066,169444,157150,0.002,0.002,0.006,0.006
3 Locks,8,2057909,1236201,418147,405124,145416,141919,0.002,0.002,0.007,0.007
3 Locks,9,2032441,1268021,409430,402821,132676,129557,0.002,0.002,0.007,0.008
3 Locks,10,2041979,1318155,409773,406647,126130,122026,0.002,0.002,0.008,0.008
